cx: 967.000000, cx_error: 7.000000, cx_out: 0.014016, cy: 561.000000, cy_error: 21.000000, cy_out: 0.042016, dt: 99.689545, area_speed: 0.083120, area: 918630.000000
cx: 964.000000, cx_error: 4.000000, cx_out: 0.008016, cy: 564.000000, cy_error: 24.000000, cy_out: 0.048016, dt: 100.793015, area_speed: 0.083226, area: 928284.000000
cx: 967.000000, cx_error: 7.000000, cx_out: 0.014016, cy: 557.000000, cy_error: 17.000000, cy_out: 0.034016, dt: 99.335266, area_speed: 0.083292, area: 940023.000000
cx: 961.000000, cx_error: 1.000000, cx_out: 0.002016, cy: 547.000000, cy_error: 7.000000, cy_out: 0.014016, dt: 101.662048, area_speed: 0.083360, area: 984474.000000
cx: 958.000000, cx_error: -2.000000, cx_out: -0.004016, cy: 540.000000, cy_error: 0.000000, cy_out: -0.000016, dt: 97.852905, area_speed: 0.083471, area: 987285.000000
cx: 964.000000, cx_error: 4.000000, cx_out: 0.008016, cy: 547.000000, cy_error: 7.000000, cy_out: 0.014016, dt: 100.757385, area_speed: 0.083599, area: 1000035.000000
cx: 964.000000, cx_error: 4.000000, cx_out: 0.008016, cy: 540.000000, cy_error: 0.000000, cy_out: 0.000016, dt: 99.082642, area_speed: 0.083684, area: 1014120.000000
cx: 960.000000, cx_error: 0.000000, cx_out: 0.000016, cy: 540.000000, cy_error: 0.000000, cy_out: 0.000016, dt: 101.657654, area_speed: 0.083736, area: 1010880.000000
cx: 963.000000, cx_error: 3.000000, cx_out: 0.006016, cy: 540.000000, cy_error: 0.000000, cy_out: 0.000016, dt: 99.157288, area_speed: 0.083775, area: 1017360.000000
cx: 964.000000, cx_error: 4.000000, cx_out: 0.007984, cy: 539.000000, cy_error: -1.000000, cy_out: -0.001984, dt: -899.843445, area_speed: 0.083764, area: 999306.000000
cx: 966.000000, cx_error: 6.000000, cx_out: 0.012016, cy: 539.000000, cy_error: -1.000000, cy_out: -0.002016, dt: 98.841377, area_speed: 0.083756, area: 1015476.000000
cx: 964.000000, cx_error: 4.000000, cx_out: 0.008016, cy: 540.000000, cy_error: 0.000000, cy_out: 0.000016, dt: 100.423431, area_speed: 0.083706, area: 1027080.000000
cx: 982.000000, cx_error: 22.000000, cx_out: 0.044016, cy: 538.000000, cy_error: -2.000000, cy_out: -0.004016, dt: 100.260742, area_speed: 0.083618, area: 1041675.000000
cx: 981.000000, cx_error: 21.000000, cx_out: 0.042016, cy: 539.000000, cy_error: -1.000000, cy_out: -0.002016, dt: 98.926880, area_speed: 0.083428, area: 1054284.000000
cx: 966.000000, cx_error: 6.000000, cx_out: 0.012016, cy: 539.000000, cy_error: -1.000000, cy_out: -0.002016, dt: 99.910461, area_speed: 0.083205, area: 1047816.000000
cx: 954.000000, cx_error: -6.000000, cx_out: -0.012016, cy: 539.000000, cy_error: -1.000000, cy_out: -0.002016, dt: 100.026794, area_speed: 0.083154, area: 1053306.000000
cx: 946.000000, cx_error: -14.000000, cx_out: -0.028016, cy: 540.000000, cy_error: 0.000000, cy_out: -0.000016, dt: 101.828552, area_speed: 0.083317, area: 1048125.000000
cx: 955.000000, cx_error: -5.000000, cx_out: -0.010016, cy: 539.000000, cy_error: -1.000000, cy_out: -0.002016, dt: 98.118774, area_speed: 0.083564, area: 1051050.000000
cx: 970.000000, cx_error: 10.000000, cx_out: 0.020016, cy: 539.000000, cy_error: -1.000000, cy_out: -0.002016, dt: 101.395203, area_speed: 0.083865, area: 1044582.000000
cx: 982.000000, cx_error: 22.000000, cx_out: 0.043984, cy: 539.000000, cy_error: -1.000000, cy_out: -0.001984, dt: -902.002686, area_speed: 0.083994, area: 1037151.000000
cx: 981.000000, cx_error: 21.000000, cx_out: 0.042016, cy: 538.000000, cy_error: -2.000000, cy_out: -0.004016, dt: 100.038124, area_speed: 0.083965, area: 1013592.000000
cx: 987.000000, cx_error: 27.000000, cx_out: 0.054016, cy: 538.000000, cy_error: -2.000000, cy_out: -0.004016, dt: 99.963028, area_speed: 0.083824, area: 994224.000000
cx: 985.000000, cx_error: 25.000000, cx_out: 0.050016, cy: 538.000000, cy_error: -2.000000, cy_out: -0.004016, dt: 100.371552, area_speed: 0.083590, area: 978084.000000
cx: 984.000000, cx_error: 24.000000, cx_out: 0.048016, cy: 540.000000, cy_error: 0.000000, cy_out: 0.000016, dt: 100.144928, area_speed: 0.083287, area: 1004400.000000
cx: 978.000000, cx_error: 18.000000, cx_out: 0.036016, cy: 540.000000, cy_error: 0.000000, cy_out: 0.000016, dt: 101.432098, area_speed: 0.082924, area: 990522.000000
cx: 963.000000, cx_error: 3.000000, cx_out: 0.006016, cy: 539.000000, cy_error: -1.000000, cy_out: -0.002016, dt: 100.788818, area_speed: 0.082714, area: 978576.000000
cx: 957.000000, cx_error: -3.000000, cx_out: -0.006016, cy: 538.000000, cy_error: -2.000000, cy_out: -0.004016, dt: 98.869202, area_speed: 0.082706, area: 974856.000000
cx: 922.000000, cx_error: -38.000000, cx_out: -0.076016, cy: 536.000000, cy_error: -4.000000, cy_out: -0.008016, dt: 100.070312, area_speed: 0.082872, area: 994671.000000
cx: 889.000000, cx_error: -71.000000, cx_out: -0.142016, cy: 537.000000, cy_error: -3.000000, cy_out: -0.006016, dt: 100.843201, area_speed: 0.083354, area: 1047150.000000
cx: 882.000000, cx_error: -78.000000, cx_out: -0.155984, cy: 537.000000, cy_error: -3.000000, cy_out: -0.005984, dt: -900.783081, area_speed: 0.084152, area: 973044.000000
cx: 861.000000, cx_error: -99.000000, cx_out: -0.198016, cy: 537.000000, cy_error: -3.000000, cy_out: -0.006016, dt: 100.673088, area_speed: 0.085030, area: 916344.000000
cx: 838.000000, cx_error: -122.000000, cx_out: -0.244016, cy: 539.000000, cy_error: -1.000000, cy_out: -0.002016, dt: 99.887314, area_speed: -0.258130, area: 856269.000000
cx: 852.000000, cx_error: -108.000000, cx_out: -0.216016, cy: 534.000000, cy_error: -6.000000, cy_out: -0.012016, dt: 98.782898, area_speed: -0.261822, area: 822762.000000
cx: 892.000000, cx_error: -68.000000, cx_out: -0.136016, cy: 507.000000, cy_error: -33.000000, cy_out: -0.066016, dt: 101.581207, area_speed: -0.265076, area: 739935.000000
cx: 942.000000, cx_error: -18.000000, cx_out: -0.036016, cy: 480.000000, cy_error: -60.000000, cy_out: -0.120016, dt: 98.650360, area_speed: -0.267454, area: 737280.000000
cx: 966.000000, cx_error: 6.000000, cx_out: 0.012016, cy: 428.000000, cy_error: -112.000000, cy_out: -0.224016, dt: 99.954468, area_speed: -0.268282, area: 663318.000000
cx: 985.000000, cx_error: 25.000000, cx_out: 0.050016, cy: 381.000000, cy_error: -159.000000, cy_out: -0.318016, dt: 101.560059, area_speed: -0.268032, area: 541782.000000
cx: 996.000000, cx_error: 36.000000, cx_out: 0.072016, cy: 407.000000, cy_error: -133.000000, cy_out: -0.266016, dt: 99.154663, area_speed: -0.267105, area: 557460.000000
cx: 1042.000000, cx_error: 82.000000, cx_out: 0.164016, cy: 448.000000, cy_error: -92.000000, cy_out: -0.184016, dt: 98.928528, area_speed: -0.265535, area: 649539.000000
cx: 1096.000000, cx_error: 136.000000, cx_out: 0.271984, cy: 514.000000, cy_error: -26.000000, cy_out: -0.051984, dt: -898.052673, area_speed: -0.263467, area: 724509.000000
cx: 1083.000000, cx_error: 123.000000, cx_out: 0.246016, cy: 534.000000, cy_error: -6.000000, cy_out: -0.012016, dt: 98.477448, area_speed: -0.259312, area: 632370.000000
